episode,map_seed,return_code,episode_ok,has_new_summary,summary_file,winner_team,learners,selfplay,baselines,shots_fired,hits_landed,tanks_killed,projectile_deaths,non_projectile_deaths,elimination_source,mobility,move_command_ratio,idle_ratio,turn_ratio,movement_success_ratio,reason,sudden_death_reached
1,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260218_145107.txt,,1,0,9,14,11,10,3,7,mixed_combat_and_time,mostly_moving,0.823,0.1094,0.8886,0.7712,normal,True
2,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260218_145121.txt,,1,0,9,14,10,10,3,7,mixed_combat_and_time,mostly_moving,0.8287,0.1083,0.8854,0.7761,normal,True
3,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260218_145136.txt,2,1,0,9,15,11,9,2,7,mixed_combat_and_time,mostly_moving,0.8005,0.135,0.8268,0.7707,normal,True
4,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260218_145150.txt,,1,0,9,14,9,10,3,7,mixed_combat_and_time,mostly_moving,0.8234,0.1104,0.8791,0.7706,normal,True
5,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260218_145203.txt,1,1,0,9,14,10,9,2,7,mixed_combat_and_time,mostly_moving,0.7921,0.1365,0.8316,0.7679,normal,True
6,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260218_145217.txt,1,1,0,9,14,9,9,3,6,mixed_combat_and_time,mostly_moving,0.8209,0.1111,0.8775,0.7703,normal,True
7,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260218_145231.txt,1,1,0,9,15,10,9,2,7,mixed_combat_and_time,mostly_moving,0.7966,0.134,0.8252,0.77,normal,True
8,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260218_145244.txt,,1,0,9,14,10,10,3,7,mixed_combat_and_time,mostly_moving,0.8249,0.1077,0.8856,0.7743,normal,True
9,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260218_145258.txt,2,1,0,9,15,11,9,2,7,mixed_combat_and_time,mostly_moving,0.8008,0.1342,0.8229,0.7708,normal,True
10,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260218_145313.txt,,1,0,9,13,9,10,3,7,mixed_combat_and_time,mostly_moving,0.8235,0.1129,0.8713,0.7708,normal,True
11,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260218_145327.txt,,1,0,9,14,9,10,3,7,mixed_combat_and_time,mostly_moving,0.8271,0.1117,0.8713000000000001,0.7714,normal,True
12,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260218_145341.txt,1,1,0,9,15,10,9,2,7,mixed_combat_and_time,mostly_moving,0.802,0.1331,0.8236,0.7717,normal,True
13,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260218_145355.txt,,1,0,9,13,9,10,3,7,mixed_combat_and_time,mostly_moving,0.845,0.1102,0.848,0.7762,normal,True
14,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260218_145408.txt,1,1,0,9,15,12,9,2,7,mixed_combat_and_time,mostly_moving,0.8123,0.1309,0.8174,0.7773,normal,True
15,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260218_145422.txt,1,1,0,9,14,10,9,3,6,mixed_combat_and_time,mostly_moving,0.8487,0.1061,0.8542000000000001,0.7804,normal,True
16,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260218_145436.txt,1,1,0,9,14,10,9,2,7,mixed_combat_and_time,mostly_moving,0.796,0.1348,0.8231999999999999,0.7692,normal,True
17,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260218_145450.txt,1,1,0,9,14,9,9,3,6,mixed_combat_and_time,mostly_moving,0.8303,0.111,0.8667,0.773,normal,True
18,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260218_145503.txt,1,1,0,9,15,10,9,2,7,mixed_combat_and_time,mostly_moving,0.7987,0.1341,0.826,0.7706,normal,True
19,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260218_145517.txt,,1,0,9,13,11,10,3,7,mixed_combat_and_time,mostly_moving,0.8448,0.1119,0.8506,0.78,normal,True
20,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260218_145531.txt,,1,0,9,14,9,10,3,7,mixed_combat_and_time,mostly_moving,0.8336,0.1084,0.8726,0.774,normal,True
