episode,map_seed,return_code,episode_ok,has_new_summary,summary_file,winner_team,learners,selfplay,baselines,shots_fired,hits_landed,tanks_killed,projectile_deaths,non_projectile_deaths,elimination_source,mobility,move_command_ratio,idle_ratio,turn_ratio,movement_success_ratio,reason,sudden_death_reached
1,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260218_151359.txt,,1,0,9,15,12,10,3,7,mixed_combat_and_time,mostly_moving,0.8396,0.1044,0.8679,0.7788,normal,True
2,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260218_151413.txt,,1,0,9,14,9,10,3,7,mixed_combat_and_time,mostly_moving,0.8463,0.1095,0.8492000000000001,0.7773,normal,True
3,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260218_151426.txt,1,1,0,9,13,12,9,2,7,mixed_combat_and_time,mostly_moving,0.8283,0.1301,0.8014,0.7814,normal,True
4,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260218_151440.txt,,1,0,9,14,11,10,3,7,mixed_combat_and_time,mostly_moving,0.8526,0.1047,0.8505999999999999,0.7833,normal,True
5,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260218_151454.txt,1,1,0,9,15,12,9,2,7,mixed_combat_and_time,mostly_moving,0.8243,0.1295,0.8036,0.7789,normal,True
6,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260218_151509.txt,,1,0,9,14,11,10,3,7,mixed_combat_and_time,mostly_moving,0.8539,0.1044,0.8508,0.7839,normal,True
7,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260218_151522.txt,,1,0,9,14,11,10,3,7,mixed_combat_and_time,mostly_moving,0.8525,0.1066,0.8492,0.7814,normal,True
8,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260218_151536.txt,1,1,0,9,15,11,9,2,7,mixed_combat_and_time,mostly_moving,0.8058,0.1346,0.8123,0.7735,normal,True
9,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260218_151550.txt,,1,0,9,13,11,10,3,7,mixed_combat_and_time,mostly_moving,0.8473,0.1085,0.8526,0.7824,normal,True
10,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260218_151603.txt,2,1,0,9,14,11,9,2,7,mixed_combat_and_time,mostly_moving,0.8025,0.1524,0.7951,0.7704,normal,True
11,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260218_151618.txt,,1,0,9,13,9,10,3,7,mixed_combat_and_time,mostly_moving,0.8267,0.1118,0.8688,0.7714,normal,True
12,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260218_151631.txt,,1,0,9,13,11,10,3,7,mixed_combat_and_time,mostly_moving,0.8375,0.1047,0.8675,0.7791,normal,True
13,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260218_151644.txt,,1,0,9,14,9,10,3,7,mixed_combat_and_time,mostly_moving,0.831,0.1068,0.8682,0.7731,normal,True
