episode,map_seed,return_code,episode_ok,has_new_summary,summary_file,winner_team,learners,selfplay,baselines,shots_fired,hits_landed,tanks_killed,projectile_deaths,non_projectile_deaths,elimination_source,mobility,move_command_ratio,idle_ratio,turn_ratio,movement_success_ratio,reason,sudden_death_reached
1,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260218_143842.txt,,1,0,9,15,11,10,3,7,mixed_combat_and_time,mostly_moving,0.8296,0.1115,0.8727,0.775,normal,True
2,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260218_143855.txt,,1,0,9,14,11,10,3,7,mixed_combat_and_time,mostly_moving,0.8327,0.1114,0.8693000000000001,0.7769,normal,True
3,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260218_143909.txt,1,1,0,9,15,10,9,2,7,mixed_combat_and_time,mostly_moving,0.8031,0.1373,0.821,0.772,normal,True
4,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260218_143922.txt,2,1,0,9,14,12,9,3,6,mixed_combat_and_time,mostly_moving,0.8329,0.1121,0.8712,0.7753,normal,True
5,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260218_143936.txt,1,1,0,9,15,11,9,2,7,mixed_combat_and_time,mostly_moving,0.8083,0.1374,0.8197,0.7739,normal,True
6,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260218_143950.txt,,1,0,9,14,10,10,3,7,mixed_combat_and_time,mostly_moving,0.8349,0.1106,0.8725,0.7775,normal,True
7,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260218_144003.txt,1,1,0,9,15,11,9,2,7,mixed_combat_and_time,mostly_moving,0.8075,0.1364,0.8209,0.7737,normal,True
8,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260218_144017.txt,,1,0,9,13,10,10,3,7,mixed_combat_and_time,mostly_moving,0.8332,0.1109,0.8704999999999999,0.7756,normal,True
9,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260218_144031.txt,1,1,0,9,14,10,9,2,7,mixed_combat_and_time,mostly_moving,0.8044,0.1374,0.8187,0.7717,normal,True
10,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260218_144044.txt,,1,0,9,14,11,10,3,7,mixed_combat_and_time,mostly_moving,0.8361,0.1089,0.8719,0.7782,normal,True
11,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260218_144058.txt,1,1,0,9,15,11,9,2,7,mixed_combat_and_time,mostly_moving,0.8054,0.1368,0.8230000000000001,0.773,normal,True
12,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260218_144113.txt,2,1,0,9,14,12,8,3,5,mixed_combat_and_time,mostly_moving,0.834,0.1122,0.8687,0.7752,normal,True
13,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260218_144127.txt,2,1,0,9,14,13,8,3,5,mixed_combat_and_time,mostly_moving,0.835,0.1106,0.8737,0.776,normal,True
14,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260218_144141.txt,,1,0,9,14,12,10,3,7,mixed_combat_and_time,mostly_moving,0.839,0.1071,0.8754,0.781,normal,True
15,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260218_144155.txt,2,1,0,9,15,14,9,3,6,mixed_combat_and_time,mostly_moving,0.8122,0.1345,0.8251999999999999,0.7773,normal,True
16,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260218_144209.txt,2,1,0,9,14,12,9,3,6,mixed_combat_and_time,mostly_moving,0.8362,0.1097,0.869,0.7778,normal,True
17,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260218_144223.txt,,1,0,9,14,12,10,3,7,mixed_combat_and_time,mostly_moving,0.8342,0.1121,0.8766999999999999,0.7794,normal,True
