episode,map_seed,return_code,episode_ok,has_new_summary,summary_file,winner_team,learners,selfplay,baselines,shots_fired,hits_landed,tanks_killed,projectile_deaths,non_projectile_deaths,elimination_source,mobility,move_command_ratio,idle_ratio,turn_ratio,movement_success_ratio,reason,sudden_death_reached
1,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260218_144642.txt,1,1,0,9,14,12,9,3,6,mixed_combat_and_time,mostly_moving,0.8341,0.1121,0.8698,0.7737,normal,True
2,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260218_144656.txt,1,1,0,9,15,11,9,2,7,mixed_combat_and_time,mostly_moving,0.802,0.1359,0.8192,0.7725,normal,True
3,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260218_144709.txt,2,1,0,9,14,11,9,3,6,mixed_combat_and_time,mostly_moving,0.8322,0.1109,0.8697,0.7759,normal,True
4,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260218_144723.txt,2,1,0,9,14,11,9,3,6,mixed_combat_and_time,mostly_moving,0.8344,0.1106,0.8657,0.776,normal,True
5,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260218_144737.txt,1,1,0,9,13,10,9,3,6,mixed_combat_and_time,mostly_moving,0.8335,0.1114,0.8682,0.7753,normal,True
6,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260218_144751.txt,2,1,0,9,15,13,9,2,7,mixed_combat_and_time,mostly_moving,0.8064,0.1345,0.8204,0.7724,normal,True
7,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260218_144805.txt,,1,0,9,14,11,10,3,7,mixed_combat_and_time,mostly_moving,0.8378,0.1075,0.8701,0.7792,normal,True
8,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260218_144819.txt,2,1,0,9,14,11,9,3,6,mixed_combat_and_time,mostly_moving,0.8314,0.1082,0.8707,0.7757,normal,True
9,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260218_144833.txt,,1,0,9,13,9,10,3,7,mixed_combat_and_time,mostly_moving,0.8343,0.1118,0.8603000000000001,0.7729,normal,True
10,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260218_144847.txt,,1,0,9,14,9,10,3,7,mixed_combat_and_time,mostly_moving,0.835,0.112,0.8587,0.7731,normal,True
11,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260218_144903.txt,1,1,0,9,15,11,9,2,7,mixed_combat_and_time,mostly_moving,0.8001,0.1342,0.8210000000000001,0.7715,normal,True
12,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260218_144917.txt,,1,0,9,14,10,10,3,7,mixed_combat_and_time,mostly_moving,0.8379,0.1083,0.8644999999999999,0.7776,normal,True
13,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260218_144931.txt,2,1,0,9,15,12,9,2,7,mixed_combat_and_time,mostly_moving,0.8078,0.1348,0.8155,0.7732,normal,True
14,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260218_144946.txt,,1,0,9,14,10,10,3,7,mixed_combat_and_time,mostly_moving,0.841,0.1075,0.8617,0.7791,normal,True
15,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260218_145000.txt,1,1,0,9,15,11,9,2,7,mixed_combat_and_time,mostly_moving,0.8029,0.1438,0.8132,0.7722,normal,True
16,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260218_145015.txt,,1,0,9,14,10,10,3,7,mixed_combat_and_time,mostly_moving,0.8392,0.1119,0.8568,0.7765,normal,True
17,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260218_145029.txt,1,1,0,9,14,11,9,2,7,mixed_combat_and_time,mostly_moving,0.8131,0.1359,0.8071,0.7754,normal,True
