episode,map_seed,return_code,episode_ok,has_new_summary,summary_file,winner_team,learners,selfplay,baselines,shots_fired,hits_landed,tanks_killed,projectile_deaths,non_projectile_deaths,elimination_source,mobility,move_command_ratio,idle_ratio,turn_ratio,movement_success_ratio,reason,sudden_death_reached
1,road_trees.csv,1,True,True,C:\Users\jakub\Desktop\Repozytoria Github\MSI_Agent_Tank\Game\02_FRAKCJA_SILNIKA\logs\summary_20260217_002100.txt,,1,0,9,15,11,10,3,7,mixed_combat_and_time,mostly_moving,0.8221,0.1023,0.8988,0.7731,normal,True
2,road_trees.csv,1,True,True,C:\Users\jakub\Desktop\Repozytoria Github\MSI_Agent_Tank\Game\02_FRAKCJA_SILNIKA\logs\summary_20260217_002122.txt,1,1,0,9,14,10,9,3,6,mixed_combat_and_time,mostly_moving,0.8237,0.102,0.8935,0.7745,normal,True
3,road_trees.csv,1,True,True,C:\Users\jakub\Desktop\Repozytoria Github\MSI_Agent_Tank\Game\02_FRAKCJA_SILNIKA\logs\summary_20260217_002146.txt,1,1,0,9,14,10,9,2,7,mixed_combat_and_time,mostly_moving,0.7963,0.1293,0.8401,0.7694,normal,True
4,road_trees.csv,1,True,True,C:\Users\jakub\Desktop\Repozytoria Github\MSI_Agent_Tank\Game\02_FRAKCJA_SILNIKA\logs\summary_20260217_002209.txt,,1,0,9,14,9,10,3,7,mixed_combat_and_time,mostly_moving,0.8235,0.1052,0.8906000000000001,0.7705,normal,True
5,road_trees.csv,1,True,True,C:\Users\jakub\Desktop\Repozytoria Github\MSI_Agent_Tank\Game\02_FRAKCJA_SILNIKA\logs\summary_20260217_002234.txt,2,1,0,9,15,12,9,2,7,mixed_combat_and_time,mostly_moving,0.7983,0.1286,0.8437,0.7709,normal,True
6,road_trees.csv,1,True,True,C:\Users\jakub\Desktop\Repozytoria Github\MSI_Agent_Tank\Game\02_FRAKCJA_SILNIKA\logs\summary_20260217_002259.txt,1,1,0,9,14,10,9,3,6,mixed_combat_and_time,mostly_moving,0.8255,0.102,0.8943,0.7746,normal,True
7,road_trees.csv,1,True,True,C:\Users\jakub\Desktop\Repozytoria Github\MSI_Agent_Tank\Game\02_FRAKCJA_SILNIKA\logs\summary_20260217_002325.txt,1,1,0,9,15,10,9,2,7,mixed_combat_and_time,mostly_moving,0.7994,0.1287,0.8444,0.7713,normal,True
8,road_trees.csv,1,True,True,C:\Users\jakub\Desktop\Repozytoria Github\MSI_Agent_Tank\Game\02_FRAKCJA_SILNIKA\logs\summary_20260217_002349.txt,,1,0,9,14,10,10,3,7,mixed_combat_and_time,mostly_moving,0.8266,0.1024,0.8926999999999999,0.7745,normal,True
9,road_trees.csv,1,True,True,C:\Users\jakub\Desktop\Repozytoria Github\MSI_Agent_Tank\Game\02_FRAKCJA_SILNIKA\logs\summary_20260217_002413.txt,2,1,0,9,15,12,9,2,7,mixed_combat_and_time,mostly_moving,0.7976,0.1287,0.8444,0.7703,normal,True
10,road_trees.csv,1,True,True,C:\Users\jakub\Desktop\Repozytoria Github\MSI_Agent_Tank\Game\02_FRAKCJA_SILNIKA\logs\summary_20260217_002436.txt,2,1,0,9,14,12,8,3,5,mixed_combat_and_time,mostly_moving,0.8213,0.1036,0.8918,0.7707,normal,True
11,road_trees.csv,1,True,True,C:\Users\jakub\Desktop\Repozytoria Github\MSI_Agent_Tank\Game\02_FRAKCJA_SILNIKA\logs\summary_20260217_002500.txt,,1,0,9,13,10,10,3,7,mixed_combat_and_time,mostly_moving,0.826,0.1036,0.8928,0.7731,normal,True
12,road_trees.csv,1,True,True,C:\Users\jakub\Desktop\Repozytoria Github\MSI_Agent_Tank\Game\02_FRAKCJA_SILNIKA\logs\summary_20260217_002523.txt,,1,0,9,14,10,10,3,7,mixed_combat_and_time,mostly_moving,0.8248,0.1024,0.8940999999999999,0.7739,normal,True
13,road_trees.csv,1,True,True,C:\Users\jakub\Desktop\Repozytoria Github\MSI_Agent_Tank\Game\02_FRAKCJA_SILNIKA\logs\summary_20260217_002546.txt,2,1,0,9,15,12,9,2,7,mixed_combat_and_time,mostly_moving,0.8022,0.1288,0.8386,0.7716,normal,True
14,road_trees.csv,1,True,True,C:\Users\jakub\Desktop\Repozytoria Github\MSI_Agent_Tank\Game\02_FRAKCJA_SILNIKA\logs\summary_20260217_002609.txt,,1,0,9,14,9,10,3,7,mixed_combat_and_time,mostly_moving,0.8262,0.1052,0.8906999999999999,0.7714,normal,True
15,road_trees.csv,1,True,True,C:\Users\jakub\Desktop\Repozytoria Github\MSI_Agent_Tank\Game\02_FRAKCJA_SILNIKA\logs\summary_20260217_002631.txt,1,1,0,9,15,11,9,2,7,mixed_combat_and_time,mostly_moving,0.7983,0.1283,0.846,0.7714,normal,True
