episode,map_seed,return_code,episode_ok,has_new_summary,summary_file,winner_team,learners,selfplay,baselines,shots_fired,hits_landed,tanks_killed,projectile_deaths,non_projectile_deaths,elimination_source,mobility,move_command_ratio,idle_ratio,turn_ratio,movement_success_ratio,reason,sudden_death_reached,avg_episode_reward
1,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260222_220600.txt,,1,0,1,3,3,10,0,10,time_sudden_death,mostly_moving,0.8081,0.1914,1.3466,1.0,normal,True,-594.1710504738382
2,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260222_220630.txt,,1,0,1,1,1,10,0,10,time_sudden_death,mostly_moving,1.0,0.0,1.5348000000000002,1.0,normal,True,30.5124041409697
3,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260222_220655.txt,,1,0,1,4,4,10,0,10,time_sudden_death,mostly_moving,0.8081,0.1914,1.3551,1.0,normal,True,139.74841996531333
4,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260222_220720.txt,,1,0,1,5,4,10,0,10,time_sudden_death,mostly_moving,0.7937,0.2053,1.3362,1.0,normal,True,288.17172162164957
5,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260222_220746.txt,,1,0,1,4,4,10,0,10,time_sudden_death,mostly_moving,0.7898,0.2094,1.3250000000000002,1.0,normal,True,489.9062348994777
6,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260222_220811.txt,,1,0,1,5,4,10,0,10,time_sudden_death,mostly_moving,0.8093,0.1902,1.3446,1.0,normal,True,1622.4653325751337
7,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260222_220836.txt,,1,0,1,6,5,10,0,10,time_sudden_death,mostly_moving,0.8074,0.1922,1.3529,1.0,normal,True,2245.5414759864707
8,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260222_220901.txt,,1,0,1,6,5,10,0,10,time_sudden_death,mostly_moving,0.8079,0.1917,1.3509,1.0,normal,True,2855.861748461457
9,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260222_220926.txt,,1,0,1,6,5,10,0,10,time_sudden_death,mostly_moving,0.8083,0.1912,1.3504,1.0,normal,True,3581.0044161435794
10,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260222_220951.txt,,1,0,1,6,5,10,1,9,mixed_combat_and_time,mostly_moving,0.7932,0.206,1.3385,1.0,normal,True,3729.7834040274493
11,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260222_221016.txt,,1,0,1,6,5,10,0,10,time_sudden_death,mostly_moving,0.8086,0.1909,1.3494,1.0,normal,True,3933.9396387550637
12,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260222_221041.txt,,1,0,1,5,4,10,0,10,time_sudden_death,mostly_moving,0.8074,0.1921,1.3538000000000001,1.0,normal,True,4062.756299292604
13,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260222_221107.txt,,1,0,1,5,4,10,0,10,time_sudden_death,mostly_moving,0.7944,0.2046,1.3370000000000002,1.0,normal,True,4009.124544632001
14,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260222_221132.txt,,1,0,1,5,4,10,0,10,time_sudden_death,mostly_moving,0.8084,0.1909,1.3500999999999999,1.0,normal,True,3838.305329939564
15,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260222_221157.txt,,1,0,1,5,4,10,0,10,time_sudden_death,mostly_moving,0.7908,0.2085,1.3250000000000002,1.0,normal,True,4012.0778513578284
16,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260222_221221.txt,,1,0,1,4,3,10,0,10,time_sudden_death,mostly_moving,0.8079,0.1917,1.3409,1.0,normal,True,4016.6706815112375
17,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260222_221246.txt,,1,0,1,0,0,10,0,10,time_sudden_death,mostly_moving,1.0,0.0,1.4994,1.0,normal,True,100.99208117734315
18,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260222_221311.txt,,1,0,1,6,5,10,0,10,time_sudden_death,mostly_moving,0.8079,0.1917,1.3404,1.0,normal,True,4056.4470395172284
