episode,map_seed,return_code,episode_ok,has_new_summary,summary_file,winner_team,learners,selfplay,baselines,shots_fired,hits_landed,tanks_killed,projectile_deaths,non_projectile_deaths,elimination_source,mobility,move_command_ratio,idle_ratio,turn_ratio,movement_success_ratio,reason,sudden_death_reached,avg_episode_reward
1,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260220_090136.txt,1,1,0,9,3,2,9,0,9,time_sudden_death,mostly_moving,0.9289,0.0687,0.8816,1.0,normal,True,516.7103401495377
2,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260220_090204.txt,1,1,0,9,4,2,9,0,9,time_sudden_death,mostly_moving,0.9286,0.0696,0.8769,1.0,normal,True,711.0731123604637
3,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260220_090231.txt,1,1,0,9,4,1,9,0,9,time_sudden_death,mostly_moving,0.9283,0.0696,0.8805000000000001,1.0,normal,True,717.3041625073989
4,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260220_090259.txt,1,1,0,9,4,2,9,0,9,time_sudden_death,mostly_moving,0.9286,0.0696,0.8769,1.0,normal,True,705.8408698752986
5,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260220_090328.txt,1,1,0,9,5,2,9,0,9,time_sudden_death,mostly_moving,0.9281,0.0697,0.8806,1.0,normal,True,700.4496757227248
6,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260220_090357.txt,1,1,0,9,3,1,9,0,9,time_sudden_death,mostly_moving,0.9294,0.0686,0.8841,1.0,normal,True,692.4774285600569
7,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260220_090425.txt,1,1,0,9,4,1,9,0,9,time_sudden_death,mostly_moving,0.9293,0.0687,0.8839,1.0,normal,True,747.2618035999236
8,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260220_090453.txt,1,1,0,9,5,3,9,0,9,time_sudden_death,mostly_moving,0.9287,0.0694,0.8778,1.0,normal,True,704.2911705441165
9,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260220_090523.txt,1,1,0,9,4,3,9,1,8,mixed_combat_and_time,mostly_moving,0.9074,0.0893,0.893,1.0,normal,True,699.2368023966096
10,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260220_090552.txt,1,1,0,9,4,3,9,0,9,time_sudden_death,mostly_moving,0.9284,0.0697,0.8754,1.0,normal,True,686.9773354471986
11,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260220_090622.txt,1,1,0,9,5,3,9,0,9,time_sudden_death,mostly_moving,0.9278,0.0701,0.8754,1.0,normal,True,803.3169264481631
12,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260220_090652.txt,1,1,0,9,4,2,9,0,9,time_sudden_death,mostly_moving,0.9286,0.0696,0.8769,1.0,normal,True,699.3598405026346
13,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260220_090721.txt,1,1,0,9,4,1,9,0,9,time_sudden_death,mostly_moving,0.9283,0.0696,0.8805000000000001,1.0,normal,True,695.3129390502803
