01:03:47 | WARNING  | TICK:0000 | Spawn position (25.0, 25.0) blocked, searching for clear spot
01:03:47 | WARNING  | TICK:0000 | Spawn position (33.0, 33.0) blocked, searching for clear spot
01:03:47 | WARNING  | TICK:0000 | Spawn position (41.0, 41.0) blocked, searching for clear spot
01:05:15 | WARNING  | TICK:2543 | Spawn position (25.0, 25.0) blocked, searching for clear spot
01:05:15 | WARNING  | TICK:2543 | Spawn position (33.0, 33.0) blocked, searching for clear spot
01:05:15 | WARNING  | TICK:2543 | Spawn position (41.0, 41.0) blocked, searching for clear spot
01:06:54 | WARNING  | TICK:2534 | Spawn position (25.0, 25.0) blocked, searching for clear spot
01:06:54 | WARNING  | TICK:2534 | Spawn position (33.0, 33.0) blocked, searching for clear spot
01:06:54 | WARNING  | TICK:2534 | Spawn position (41.0, 41.0) blocked, searching for clear spot
01:08:20 | WARNING  | TICK:2543 | Spawn position (25.0, 25.0) blocked, searching for clear spot
01:08:20 | WARNING  | TICK:2543 | Spawn position (33.0, 33.0) blocked, searching for clear spot
01:08:20 | WARNING  | TICK:2543 | Spawn position (41.0, 41.0) blocked, searching for clear spot
01:09:52 | WARNING  | TICK:2534 | Spawn position (25.0, 25.0) blocked, searching for clear spot
01:09:52 | WARNING  | TICK:2534 | Spawn position (33.0, 33.0) blocked, searching for clear spot
01:09:52 | WARNING  | TICK:2534 | Spawn position (41.0, 41.0) blocked, searching for clear spot
01:11:36 | WARNING  | TICK:2548 | Spawn position (25.0, 25.0) blocked, searching for clear spot
01:11:36 | WARNING  | TICK:2548 | Spawn position (33.0, 33.0) blocked, searching for clear spot
01:11:36 | WARNING  | TICK:2548 | Spawn position (41.0, 41.0) blocked, searching for clear spot
01:13:12 | WARNING  | TICK:2534 | Spawn position (25.0, 25.0) blocked, searching for clear spot
01:13:12 | WARNING  | TICK:2534 | Spawn position (33.0, 33.0) blocked, searching for clear spot
01:13:12 | WARNING  | TICK:2534 | Spawn position (41.0, 41.0) blocked, searching for clear spot
01:14:56 | WARNING  | TICK:2554 | Spawn position (25.0, 25.0) blocked, searching for clear spot
01:14:56 | WARNING  | TICK:2554 | Spawn position (33.0, 33.0) blocked, searching for clear spot
01:14:56 | WARNING  | TICK:2554 | Spawn position (41.0, 41.0) blocked, searching for clear spot
01:16:28 | WARNING  | TICK:2551 | Spawn position (25.0, 25.0) blocked, searching for clear spot
01:16:28 | WARNING  | TICK:2551 | Spawn position (33.0, 33.0) blocked, searching for clear spot
01:16:28 | WARNING  | TICK:2551 | Spawn position (41.0, 41.0) blocked, searching for clear spot
01:18:02 | WARNING  | TICK:2534 | Spawn position (25.0, 25.0) blocked, searching for clear spot
01:18:02 | WARNING  | TICK:2534 | Spawn position (33.0, 33.0) blocked, searching for clear spot
01:18:02 | WARNING  | TICK:2534 | Spawn position (41.0, 41.0) blocked, searching for clear spot
01:19:43 | WARNING  | TICK:2547 | Spawn position (25.0, 25.0) blocked, searching for clear spot
01:19:43 | WARNING  | TICK:2547 | Spawn position (33.0, 33.0) blocked, searching for clear spot
01:19:43 | WARNING  | TICK:2547 | Spawn position (41.0, 41.0) blocked, searching for clear spot
01:21:10 | WARNING  | TICK:2534 | Spawn position (25.0, 25.0) blocked, searching for clear spot
01:21:10 | WARNING  | TICK:2534 | Spawn position (33.0, 33.0) blocked, searching for clear spot
01:21:10 | WARNING  | TICK:2534 | Spawn position (41.0, 41.0) blocked, searching for clear spot
01:22:32 | WARNING  | TICK:2534 | Spawn position (25.0, 25.0) blocked, searching for clear spot
