21:00:50 | INFO     | TICK:0000 | GameCore initialized with session ID: 302344bc
21:00:53 | INFO     | TICK:0000 | Starting game initialization...
21:00:53 | INFO     | TICK:0000 | Game configuration: {'session_id': '302344bc', 'map_size': (200, 200), 'team_count': 2, 'team_size': 5, 'total_tanks': 10, 'friendly_fire': True, 'sudden_death_tick': 100000, 'map_seed': 'advanced_road_trees.csv', 'spawn_positions': [(50, 50), (65, 70), (80, 90), (95, 110), (110, 130), (100, 50), (115, 70), (130, 90), (145, 110), (160, 130)]}
21:00:54 | INFO     | TICK:0000 | Loading map with seed: advanced_road_trees.csv
21:00:54 | INFO     | TICK:0000 | Loaded map from file: advanced_road_trees.csv
21:00:54 | INFO     | TICK:0000 | Spawning tanks: Team A=5, Team B=5
21:00:54 | WARNING  | TICK:0000 | Spawn position (25.0, 25.0) blocked, searching for clear spot
21:00:54 | INFO     | TICK:0000 | Found clear spawn at (51.0, 40.0)
21:00:54 | WARNING  | TICK:0000 | Spawn position (33.0, 33.0) blocked, searching for clear spot
21:00:54 | INFO     | TICK:0000 | Found clear spawn at (40.5, 46.0)
21:00:54 | WARNING  | TICK:0000 | Spawn position (41.0, 41.0) blocked, searching for clear spot
21:00:54 | INFO     | TICK:0000 | Found clear spawn at (54.0, 48.5)
21:00:54 | WARNING  | TICK:0000 | Spawn position (49.0, 49.0) blocked, searching for clear spot
21:00:54 | INFO     | TICK:0000 | Found clear spawn at (64.0, 49.0)
21:00:54 | WARNING  | TICK:0000 | Spawn position (189.0, 49.0) blocked, searching for clear spot
21:00:54 | INFO     | TICK:0000 | Found clear spawn at (174.0, 49.0)
21:00:54 | WARNING  | TICK:0000 | Spawn position (195.0, 57.0) blocked, searching for clear spot
21:00:54 | INFO     | TICK:0000 | Found clear spawn at (190.0, 83.0)
21:00:54 | INFO     | TICK:0000 | Successfully spawned 10 tanks
21:00:54 | INFO     | TICK:0000 | Connecting to agent servers...
21:00:54 | INFO     | TICK:0000 | Connected to agent for tank_1_1 at http://127.0.0.1:8001
21:00:54 | INFO     | TICK:0000 | Connected to agent for tank_1_2 at http://127.0.0.1:8002
21:00:54 | INFO     | TICK:0000 | Connected to agent for tank_1_3 at http://127.0.0.1:8003
21:00:54 | INFO     | TICK:0000 | Connected to agent for tank_1_4 at http://127.0.0.1:8004
21:00:54 | INFO     | TICK:0000 | Connected to agent for tank_1_5 at http://127.0.0.1:8005
21:00:54 | INFO     | TICK:0000 | Connected to agent for tank_2_1 at http://127.0.0.1:8006
21:00:54 | INFO     | TICK:0000 | Connected to agent for tank_2_2 at http://127.0.0.1:8007
21:00:54 | INFO     | TICK:0000 | Connected to agent for tank_2_3 at http://127.0.0.1:8008
21:00:54 | INFO     | TICK:0000 | Connected to agent for tank_2_4 at http://127.0.0.1:8009
