19:39:52 | INFO     | TICK:0000 | GameCore initialized with session ID: 1b0d4eb1
19:39:55 | INFO     | TICK:0000 | Starting game initialization...
19:39:55 | INFO     | TICK:0000 | Game configuration: {'session_id': '1b0d4eb1', 'map_size': (200, 200), 'team_count': 2, 'team_size': 5, 'total_tanks': 10, 'friendly_fire': True, 'sudden_death_tick': 100000, 'map_seed': 'road_trees.csv', 'spawn_positions': [(50, 50), (65, 70), (80, 90), (95, 110), (110, 130), (100, 50), (115, 70), (130, 90), (145, 110), (160, 130)]}
19:39:55 | INFO     | TICK:0000 | Loading map with seed: road_trees.csv
19:39:55 | INFO     | TICK:0000 | Loaded map from file: road_trees.csv
19:39:55 | INFO     | TICK:0000 | Spawning tanks: Team A=5, Team B=5
19:39:55 | WARNING  | TICK:0000 | Spawn position (20.0, 15.0) blocked, searching for clear spot
19:39:55 | INFO     | TICK:0000 | Found clear spawn at (35.0, 15.0)
19:39:55 | WARNING  | TICK:0000 | Spawn position (26.0, 19.0) blocked, searching for clear spot
19:39:55 | INFO     | TICK:0000 | Found clear spawn at (52.0, 34.0)
19:39:55 | WARNING  | TICK:0000 | Spawn position (32.0, 23.0) blocked, searching for clear spot
19:39:55 | INFO     | TICK:0000 | Found clear spawn at (45.0, 15.5)
19:39:55 | WARNING  | TICK:0000 | Spawn position (38.0, 27.0) blocked, searching for clear spot
19:39:55 | INFO     | TICK:0000 | Found clear spawn at (64.0, 42.0)
19:39:55 | WARNING  | TICK:0000 | Spawn position (44.0, 31.0) blocked, searching for clear spot
19:39:55 | INFO     | TICK:0000 | Found clear spawn at (51.5, 44.0)
19:39:55 | WARNING  | TICK:0000 | Spawn position (125.0, 15.0) blocked, searching for clear spot
19:39:55 | INFO     | TICK:0000 | Found clear spawn at (140.0, 15.0)
19:39:55 | WARNING  | TICK:0000 | Spawn position (131.0, 19.0) blocked, searching for clear spot
19:39:55 | INFO     | TICK:0000 | Found clear spawn at (131.0, 49.0)
19:39:55 | WARNING  | TICK:0000 | Spawn position (143.0, 27.0) blocked, searching for clear spot
19:39:55 | INFO     | TICK:0000 | Found clear spawn at (140.0, 53.0)
19:39:55 | WARNING  | TICK:0000 | Spawn position (145.0, 31.0) blocked, searching for clear spot
19:39:55 | INFO     | TICK:0000 | Found clear spawn at (140.0, 61.0)
19:39:55 | INFO     | TICK:0000 | Successfully spawned 10 tanks
19:39:55 | INFO     | TICK:0000 | Connecting to agent servers...
19:39:56 | WARNING  | TICK:0000 | Failed to connect to agent for tank_1_1: timed out
19:39:56 | WARNING  | TICK:0000 | Failed to connect to agent for tank_1_2: timed out
19:39:57 | WARNING  | TICK:0000 | Failed to connect to agent for tank_1_3: timed out
