19:34:51 | INFO     | TICK:0000 | GameCore initialized with session ID: 696ba298
19:34:54 | INFO     | TICK:0000 | Starting game initialization...
19:34:54 | INFO     | TICK:0000 | Game configuration: {'session_id': '696ba298', 'map_size': (200, 200), 'team_count': 2, 'team_size': 5, 'total_tanks': 10, 'friendly_fire': True, 'sudden_death_tick': 100000, 'map_seed': 'advanced_road_trees.csv', 'spawn_positions': [(50, 50), (65, 70), (80, 90), (95, 110), (110, 130), (100, 50), (115, 70), (130, 90), (145, 110), (160, 130)]}
19:34:54 | INFO     | TICK:0000 | Loading map with seed: advanced_road_trees.csv
19:34:54 | INFO     | TICK:0000 | Loaded map from file: advanced_road_trees.csv
19:34:54 | INFO     | TICK:0000 | Spawning tanks: Team A=5, Team B=5
19:34:54 | WARNING  | TICK:0000 | Spawn position (25.0, 25.0) blocked, searching for clear spot
19:34:54 | INFO     | TICK:0000 | Found clear spawn at (51.0, 40.0)
19:34:54 | WARNING  | TICK:0000 | Spawn position (33.0, 33.0) blocked, searching for clear spot
19:34:54 | INFO     | TICK:0000 | Found clear spawn at (40.5, 46.0)
19:34:54 | WARNING  | TICK:0000 | Spawn position (41.0, 41.0) blocked, searching for clear spot
19:34:54 | INFO     | TICK:0000 | Found clear spawn at (54.0, 48.5)
19:34:54 | WARNING  | TICK:0000 | Spawn position (49.0, 49.0) blocked, searching for clear spot
19:34:54 | INFO     | TICK:0000 | Found clear spawn at (64.0, 49.0)
19:34:54 | WARNING  | TICK:0000 | Spawn position (189.0, 49.0) blocked, searching for clear spot
19:34:54 | INFO     | TICK:0000 | Found clear spawn at (174.0, 49.0)
19:34:54 | WARNING  | TICK:0000 | Spawn position (195.0, 57.0) blocked, searching for clear spot
19:34:54 | INFO     | TICK:0000 | Found clear spawn at (190.0, 83.0)
19:34:54 | INFO     | TICK:0000 | Successfully spawned 10 tanks
19:34:54 | INFO     | TICK:0000 | Connecting to agent servers...
19:34:55 | WARNING  | TICK:0000 | Failed to connect to agent for tank_1_1: timed out
19:34:55 | WARNING  | TICK:0000 | Failed to connect to agent for tank_1_2: timed out
19:34:56 | WARNING  | TICK:0000 | Failed to connect to agent for tank_1_3: timed out
19:34:56 | WARNING  | TICK:0000 | Failed to connect to agent for tank_1_4: timed out
19:34:57 | WARNING  | TICK:0000 | Failed to connect to agent for tank_1_5: timed out
19:34:57 | WARNING  | TICK:0000 | Failed to connect to agent for tank_2_1: timed out
19:34:58 | WARNING  | TICK:0000 | Failed to connect to agent for tank_2_2: timed out
19:34:58 | WARNING  | TICK:0000 | Failed to connect to agent for tank_2_3: timed out
19:34:59 | WARNING  | TICK:0000 | Failed to connect to agent for tank_2_4: timed out
19:34:59 | WARNING  | TICK:0000 | Failed to connect to agent for tank_2_5: timed out
19:34:59 | INFO     | TICK:0000 | Connected to 0/10 agents
19:34:59 | WARNING  | TICK:0000 | Agent loading failed - continuing without agents
19:34:59 | INFO     | TICK:0000 | Game initialization completed successfully
19:35:03 | INFO     | TICK:0000 | Game loop started
19:35:03 | DEBUG    | TICK:0001 | Tick 1 started
