20:33:28 | INFO     | TICK:0000 | GameCore initialized with session ID: 46c3f614
20:33:31 | INFO     | TICK:0000 | Starting game initialization...
20:33:31 | INFO     | TICK:0000 | Game configuration: {'session_id': '46c3f614', 'map_size': (200, 200), 'team_count': 2, 'team_size': 5, 'total_tanks': 10, 'friendly_fire': True, 'sudden_death_tick': 100000, 'map_seed': 'road_trees.csv', 'spawn_positions': [(50, 50), (65, 70), (80, 90), (95, 110), (110, 130), (100, 50), (115, 70), (130, 90), (145, 110), (160, 130)]}
20:33:31 | INFO     | TICK:0000 | Loading map with seed: road_trees.csv
20:33:31 | INFO     | TICK:0000 | Loaded map from file: road_trees.csv
20:33:31 | INFO     | TICK:0000 | Spawning tanks: Team A=5, Team B=5
20:33:31 | WARNING  | TICK:0000 | Spawn position (20.0, 15.0) blocked, searching for clear spot
20:33:31 | INFO     | TICK:0000 | Found clear spawn at (35.0, 15.0)
20:33:31 | WARNING  | TICK:0000 | Spawn position (26.0, 19.0) blocked, searching for clear spot
20:33:31 | INFO     | TICK:0000 | Found clear spawn at (52.0, 34.0)
20:33:31 | WARNING  | TICK:0000 | Spawn position (32.0, 23.0) blocked, searching for clear spot
20:33:31 | INFO     | TICK:0000 | Found clear spawn at (45.0, 15.5)
20:33:31 | WARNING  | TICK:0000 | Spawn position (38.0, 27.0) blocked, searching for clear spot
20:33:31 | INFO     | TICK:0000 | Found clear spawn at (64.0, 42.0)
20:33:31 | WARNING  | TICK:0000 | Spawn position (44.0, 31.0) blocked, searching for clear spot
20:33:31 | INFO     | TICK:0000 | Found clear spawn at (51.5, 44.0)
20:33:31 | WARNING  | TICK:0000 | Spawn position (125.0, 15.0) blocked, searching for clear spot
20:33:31 | INFO     | TICK:0000 | Found clear spawn at (140.0, 15.0)
20:33:31 | WARNING  | TICK:0000 | Spawn position (131.0, 19.0) blocked, searching for clear spot
20:33:31 | INFO     | TICK:0000 | Found clear spawn at (131.0, 49.0)
20:33:31 | WARNING  | TICK:0000 | Spawn position (143.0, 27.0) blocked, searching for clear spot
20:33:31 | INFO     | TICK:0000 | Found clear spawn at (140.0, 53.0)
20:33:31 | WARNING  | TICK:0000 | Spawn position (145.0, 31.0) blocked, searching for clear spot
20:33:31 | INFO     | TICK:0000 | Found clear spawn at (140.0, 61.0)
20:33:31 | INFO     | TICK:0000 | Successfully spawned 10 tanks
20:33:31 | INFO     | TICK:0000 | Connecting to agent servers...
20:33:31 | INFO     | TICK:0000 | Connected to agent for tank_1_1 at http://127.0.0.1:8001
20:33:32 | WARNING  | TICK:0000 | Failed to connect to agent for tank_1_2: timed out
20:33:32 | WARNING  | TICK:0000 | Failed to connect to agent for tank_1_3: timed out
20:33:32 | INFO     | TICK:0000 | Connected to agent for tank_1_4 at http://127.0.0.1:8004
20:33:32 | INFO     | TICK:0000 | Connected to agent for tank_1_5 at http://127.0.0.1:8005
20:33:32 | INFO     | TICK:0000 | Connected to agent for tank_2_1 at http://127.0.0.1:8006
20:33:32 | INFO     | TICK:0000 | Connected to agent for tank_2_2 at http://127.0.0.1:8007
20:33:32 | INFO     | TICK:0000 | Connected to agent for tank_2_3 at http://127.0.0.1:8008
20:33:32 | INFO     | TICK:0000 | Connected to agent for tank_2_4 at http://127.0.0.1:8009
