20:09:02 | GAME_START      | TICK:0000 | Game started with session ID: 20260213_200859
20:09:02 | MAP_LOAD        | TICK:0000 | Map loaded successfully with seed: advanced_road_trees.csv
20:09:02 | TANK_SPAWN      | TICK:0000 | Tank tank_1_1 performed spawn
20:09:02 | TANK_SPAWN      | TICK:0000 | Tank tank_1_2 performed spawn
20:09:02 | TANK_SPAWN      | TICK:0000 | Tank tank_1_3 performed spawn
20:09:02 | TANK_SPAWN      | TICK:0000 | Tank tank_1_4 performed spawn
20:09:02 | TANK_SPAWN      | TICK:0000 | Tank tank_1_5 performed spawn
20:09:02 | TANK_SPAWN      | TICK:0000 | Tank tank_2_1 performed spawn
20:09:02 | TANK_SPAWN      | TICK:0000 | Tank tank_2_2 performed spawn
20:09:02 | TANK_SPAWN      | TICK:0000 | Tank tank_2_3 performed spawn
20:09:02 | TANK_SPAWN      | TICK:0000 | Tank tank_2_4 performed spawn
20:09:02 | TANK_SPAWN      | TICK:0000 | Tank tank_2_5 performed spawn
20:09:06 | AGENT_REQUEST   | TICK:0001 | Agent http://127.0.0.1:8001 request
20:09:06 | AGENT_RESPONSE  | TICK:0001 | Agent http://127.0.0.1:8001 response
20:09:06 | AGENT_REQUEST   | TICK:0001 | Agent http://127.0.0.1:8002 request
20:09:06 | AGENT_RESPONSE  | TICK:0001 | Agent http://127.0.0.1:8002 response
20:09:06 | AGENT_REQUEST   | TICK:0001 | Agent http://127.0.0.1:8003 request
20:09:06 | AGENT_RESPONSE  | TICK:0001 | Agent http://127.0.0.1:8003 response
20:09:06 | AGENT_REQUEST   | TICK:0001 | Agent http://127.0.0.1:8004 request
20:09:06 | AGENT_RESPONSE  | TICK:0001 | Agent http://127.0.0.1:8004 response
20:09:06 | AGENT_REQUEST   | TICK:0001 | Agent http://127.0.0.1:8005 request
20:09:06 | AGENT_RESPONSE  | TICK:0001 | Agent http://127.0.0.1:8005 response
20:09:06 | AGENT_REQUEST   | TICK:0001 | Agent http://127.0.0.1:8006 request
20:09:06 | AGENT_RESPONSE  | TICK:0001 | Agent http://127.0.0.1:8006 response
20:09:06 | AGENT_REQUEST   | TICK:0001 | Agent http://127.0.0.1:8007 request
20:09:06 | AGENT_RESPONSE  | TICK:0001 | Agent http://127.0.0.1:8007 response
20:09:06 | AGENT_REQUEST   | TICK:0001 | Agent http://127.0.0.1:8008 request
20:09:06 | AGENT_RESPONSE  | TICK:0001 | Agent http://127.0.0.1:8008 response
20:09:06 | AGENT_REQUEST   | TICK:0001 | Agent http://127.0.0.1:8009 request
20:09:06 | AGENT_RESPONSE  | TICK:0001 | Agent http://127.0.0.1:8009 response
20:09:06 | AGENT_REQUEST   | TICK:0001 | Agent http://127.0.0.1:8010 request
20:09:06 | AGENT_RESPONSE  | TICK:0001 | Agent http://127.0.0.1:8010 response
20:09:06 | AGENT_REQUEST   | TICK:0002 | Agent http://127.0.0.1:8001 request
20:09:06 | AGENT_RESPONSE  | TICK:0002 | Agent http://127.0.0.1:8001 response
20:09:06 | AGENT_REQUEST   | TICK:0002 | Agent http://127.0.0.1:8002 request
20:09:06 | AGENT_RESPONSE  | TICK:0002 | Agent http://127.0.0.1:8002 response
