20:03:29 | INFO     | TICK:0000 | GameCore initialized with session ID: 47c2c6af
20:03:32 | INFO     | TICK:0000 | Starting game initialization...
20:03:32 | INFO     | TICK:0000 | Game configuration: {'session_id': '47c2c6af', 'map_size': (200, 200), 'team_count': 2, 'team_size': 5, 'total_tanks': 10, 'friendly_fire': True, 'sudden_death_tick': 100000, 'map_seed': 'advanced_road_trees.csv', 'spawn_positions': [(50, 50), (65, 70), (80, 90), (95, 110), (110, 130), (100, 50), (115, 70), (130, 90), (145, 110), (160, 130)]}
20:03:32 | INFO     | TICK:0000 | Loading map with seed: advanced_road_trees.csv
20:03:32 | INFO     | TICK:0000 | Loaded map from file: advanced_road_trees.csv
20:03:32 | INFO     | TICK:0000 | Spawning tanks: Team A=5, Team B=5
20:03:32 | WARNING  | TICK:0000 | Spawn position (25.0, 25.0) blocked, searching for clear spot
20:03:32 | INFO     | TICK:0000 | Found clear spawn at (51.0, 40.0)
20:03:32 | WARNING  | TICK:0000 | Spawn position (33.0, 33.0) blocked, searching for clear spot
20:03:32 | INFO     | TICK:0000 | Found clear spawn at (40.5, 46.0)
20:03:32 | WARNING  | TICK:0000 | Spawn position (41.0, 41.0) blocked, searching for clear spot
20:03:32 | INFO     | TICK:0000 | Found clear spawn at (54.0, 48.5)
20:03:32 | WARNING  | TICK:0000 | Spawn position (49.0, 49.0) blocked, searching for clear spot
20:03:32 | INFO     | TICK:0000 | Found clear spawn at (64.0, 49.0)
20:03:32 | WARNING  | TICK:0000 | Spawn position (189.0, 49.0) blocked, searching for clear spot
20:03:32 | INFO     | TICK:0000 | Found clear spawn at (174.0, 49.0)
20:03:32 | WARNING  | TICK:0000 | Spawn position (195.0, 57.0) blocked, searching for clear spot
20:03:32 | INFO     | TICK:0000 | Found clear spawn at (190.0, 83.0)
20:03:32 | INFO     | TICK:0000 | Successfully spawned 10 tanks
20:03:32 | INFO     | TICK:0000 | Connecting to agent servers...
20:03:32 | INFO     | TICK:0000 | Connected to agent for tank_1_1 at http://127.0.0.1:8001
20:03:32 | INFO     | TICK:0000 | Connected to agent for tank_1_2 at http://127.0.0.1:8002
20:03:32 | INFO     | TICK:0000 | Connected to agent for tank_1_3 at http://127.0.0.1:8003
20:03:32 | INFO     | TICK:0000 | Connected to agent for tank_1_4 at http://127.0.0.1:8004
20:03:32 | INFO     | TICK:0000 | Connected to agent for tank_1_5 at http://127.0.0.1:8005
20:03:32 | INFO     | TICK:0000 | Connected to agent for tank_2_1 at http://127.0.0.1:8006
20:03:32 | INFO     | TICK:0000 | Connected to agent for tank_2_2 at http://127.0.0.1:8007
20:03:32 | INFO     | TICK:0000 | Connected to agent for tank_2_3 at http://127.0.0.1:8008
20:03:32 | INFO     | TICK:0000 | Connected to agent for tank_2_4 at http://127.0.0.1:8009
20:03:32 | INFO     | TICK:0000 | Connected to agent for tank_2_5 at http://127.0.0.1:8010
20:03:32 | INFO     | TICK:0000 | Connected to 10/10 agents
20:03:32 | INFO     | TICK:0000 | Game initialization completed successfully
20:03:37 | INFO     | TICK:0000 | Game loop started
20:03:37 | DEBUG    | TICK:0001 | Tick 1 started
20:03:37 | DEBUG    | TICK:0001 | Team 1 has 5 tanks alive
20:03:37 | DEBUG    | TICK:0001 | Team 2 has 5 tanks alive
20:03:37 | DEBUG    | TICK:0001 | Team 1 has 5 tanks alive
20:03:37 | DEBUG    | TICK:0001 | Team 2 has 5 tanks alive
20:03:37 | DEBUG    | TICK:0002 | Tick 2 started
20:03:37 | DEBUG    | TICK:0002 | Team 1 has 5 tanks alive
20:03:37 | DEBUG    | TICK:0002 | Team 2 has 5 tanks alive
20:03:37 | DEBUG    | TICK:0002 | Team 1 has 5 tanks alive
20:03:37 | DEBUG    | TICK:0002 | Team 2 has 5 tanks alive
20:03:37 | DEBUG    | TICK:0003 | Tick 3 started
20:03:37 | DEBUG    | TICK:0003 | Team 1 has 5 tanks alive
20:03:37 | DEBUG    | TICK:0003 | Team 2 has 5 tanks alive
20:03:37 | DEBUG    | TICK:0003 | Team 1 has 5 tanks alive
20:03:37 | DEBUG    | TICK:0003 | Team 2 has 5 tanks alive
20:03:37 | DEBUG    | TICK:0004 | Tick 4 started
20:03:37 | DEBUG    | TICK:0004 | Team 1 has 5 tanks alive
20:03:37 | DEBUG    | TICK:0004 | Team 2 has 5 tanks alive
20:03:37 | DEBUG    | TICK:0004 | Team 1 has 5 tanks alive
20:03:37 | DEBUG    | TICK:0004 | Team 2 has 5 tanks alive
20:03:37 | DEBUG    | TICK:0005 | Tick 5 started
20:03:37 | DEBUG    | TICK:0005 | Team 1 has 5 tanks alive
20:03:37 | DEBUG    | TICK:0005 | Team 2 has 5 tanks alive
20:03:37 | DEBUG    | TICK:0005 | Team 1 has 5 tanks alive
20:03:37 | DEBUG    | TICK:0005 | Team 2 has 5 tanks alive
20:03:37 | DEBUG    | TICK:0006 | Tick 6 started
20:03:37 | DEBUG    | TICK:0006 | Team 1 has 5 tanks alive
20:03:37 | DEBUG    | TICK:0006 | Team 2 has 5 tanks alive
20:03:37 | DEBUG    | TICK:0006 | Team 1 has 5 tanks alive
20:03:37 | DEBUG    | TICK:0006 | Team 2 has 5 tanks alive
20:03:37 | DEBUG    | TICK:0007 | Tick 7 started
20:03:37 | DEBUG    | TICK:0007 | Team 1 has 5 tanks alive
20:03:37 | DEBUG    | TICK:0007 | Team 2 has 5 tanks alive
20:03:37 | DEBUG    | TICK:0007 | Team 1 has 5 tanks alive
20:03:37 | DEBUG    | TICK:0007 | Team 2 has 5 tanks alive
20:03:37 | DEBUG    | TICK:0008 | Tick 8 started
20:03:37 | DEBUG    | TICK:0008 | Team 1 has 5 tanks alive
20:03:37 | DEBUG    | TICK:0008 | Team 2 has 5 tanks alive
20:03:37 | DEBUG    | TICK:0008 | Team 1 has 5 tanks alive
20:03:37 | DEBUG    | TICK:0008 | Team 2 has 5 tanks alive
20:03:37 | DEBUG    | TICK:0009 | Tick 9 started
20:03:37 | DEBUG    | TICK:0009 | Team 1 has 5 tanks alive
20:03:37 | DEBUG    | TICK:0009 | Team 2 has 5 tanks alive
20:03:37 | DEBUG    | TICK:0009 | Team 1 has 5 tanks alive
20:03:37 | DEBUG    | TICK:0009 | Team 2 has 5 tanks alive
20:03:37 | DEBUG    | TICK:0010 | Tick 10 started
20:03:37 | DEBUG    | TICK:0010 | Team 1 has 5 tanks alive
20:03:37 | DEBUG    | TICK:0010 | Team 2 has 5 tanks alive
20:03:37 | DEBUG    | TICK:0010 | Team 1 has 5 tanks alive
20:03:37 | DEBUG    | TICK:0010 | Team 2 has 5 tanks alive
20:03:37 | DEBUG    | TICK:0011 | Tick 11 started
20:03:37 | DEBUG    | TICK:0011 | Team 1 has 5 tanks alive
20:03:37 | DEBUG    | TICK:0011 | Team 2 has 5 tanks alive
20:03:37 | DEBUG    | TICK:0011 | Team 1 has 5 tanks alive
20:03:37 | DEBUG    | TICK:0011 | Team 2 has 5 tanks alive
20:03:37 | DEBUG    | TICK:0012 | Tick 12 started
20:03:37 | DEBUG    | TICK:0012 | Team 1 has 5 tanks alive
20:03:37 | DEBUG    | TICK:0012 | Team 2 has 5 tanks alive
20:03:37 | DEBUG    | TICK:0012 | Team 1 has 5 tanks alive
20:03:37 | DEBUG    | TICK:0012 | Team 2 has 5 tanks alive
20:03:37 | DEBUG    | TICK:0013 | Tick 13 started
20:03:37 | DEBUG    | TICK:0013 | Team 1 has 5 tanks alive
20:03:37 | DEBUG    | TICK:0013 | Team 2 has 5 tanks alive
20:03:37 | DEBUG    | TICK:0013 | Team 1 has 5 tanks alive
20:03:37 | DEBUG    | TICK:0013 | Team 2 has 5 tanks alive
20:03:37 | DEBUG    | TICK:0014 | Tick 14 started
