17:03:01 | INFO     | TICK:0000 | GameCore initialized with session ID: e7417e9e
17:03:04 | INFO     | TICK:0000 | Starting game initialization...
17:03:04 | INFO     | TICK:0000 | Game configuration: {'session_id': 'e7417e9e', 'map_size': (200, 200), 'team_count': 2, 'team_size': 5, 'total_tanks': 10, 'friendly_fire': True, 'sudden_death_tick': 100000, 'map_seed': 'road_trees.csv', 'spawn_positions': [(50, 50), (65, 70), (80, 90), (95, 110), (110, 130), (100, 50), (115, 70), (130, 90), (145, 110), (160, 130)]}
17:03:04 | INFO     | TICK:0000 | Loading map with seed: road_trees.csv
17:03:04 | INFO     | TICK:0000 | Loaded map from file: road_trees.csv
17:03:04 | INFO     | TICK:0000 | Spawning tanks: Team A=5, Team B=5
17:03:04 | WARNING  | TICK:0000 | Spawn position (20.0, 15.0) blocked, searching for clear spot
17:03:04 | INFO     | TICK:0000 | Found clear spawn at (35.0, 15.0)
17:03:04 | WARNING  | TICK:0000 | Spawn position (26.0, 19.0) blocked, searching for clear spot
17:03:04 | INFO     | TICK:0000 | Found clear spawn at (52.0, 34.0)
17:03:04 | WARNING  | TICK:0000 | Spawn position (32.0, 23.0) blocked, searching for clear spot
17:03:04 | INFO     | TICK:0000 | Found clear spawn at (45.0, 15.5)
17:03:04 | WARNING  | TICK:0000 | Spawn position (38.0, 27.0) blocked, searching for clear spot
17:03:04 | INFO     | TICK:0000 | Found clear spawn at (64.0, 42.0)
17:03:04 | WARNING  | TICK:0000 | Spawn position (44.0, 31.0) blocked, searching for clear spot
17:03:04 | INFO     | TICK:0000 | Found clear spawn at (51.5, 44.0)
17:03:04 | WARNING  | TICK:0000 | Spawn position (125.0, 15.0) blocked, searching for clear spot
17:03:04 | INFO     | TICK:0000 | Found clear spawn at (140.0, 15.0)
17:03:04 | WARNING  | TICK:0000 | Spawn position (131.0, 19.0) blocked, searching for clear spot
17:03:04 | INFO     | TICK:0000 | Found clear spawn at (131.0, 49.0)
17:03:04 | WARNING  | TICK:0000 | Spawn position (143.0, 27.0) blocked, searching for clear spot
17:03:04 | INFO     | TICK:0000 | Found clear spawn at (140.0, 53.0)
17:03:04 | WARNING  | TICK:0000 | Spawn position (145.0, 31.0) blocked, searching for clear spot
17:03:04 | INFO     | TICK:0000 | Found clear spawn at (140.0, 61.0)
17:03:04 | INFO     | TICK:0000 | Successfully spawned 10 tanks
17:03:04 | INFO     | TICK:0000 | Connecting to agent servers...
17:03:04 | INFO     | TICK:0000 | Connected to agent for tank_1_1 at http://127.0.0.1:8001
17:03:04 | INFO     | TICK:0000 | Connected to agent for tank_1_2 at http://127.0.0.1:8002
17:03:04 | INFO     | TICK:0000 | Connected to agent for tank_1_3 at http://127.0.0.1:8003
17:03:04 | INFO     | TICK:0000 | Connected to agent for tank_1_4 at http://127.0.0.1:8004
17:03:04 | INFO     | TICK:0000 | Connected to agent for tank_1_5 at http://127.0.0.1:8005
17:03:04 | INFO     | TICK:0000 | Connected to agent for tank_2_1 at http://127.0.0.1:8006
17:03:04 | INFO     | TICK:0000 | Connected to agent for tank_2_2 at http://127.0.0.1:8007
17:03:04 | INFO     | TICK:0000 | Connected to agent for tank_2_3 at http://127.0.0.1:8008
17:03:04 | INFO     | TICK:0000 | Connected to agent for tank_2_4 at http://127.0.0.1:8009
17:03:04 | INFO     | TICK:0000 | Connected to agent for tank_2_5 at http://127.0.0.1:8010
17:03:04 | INFO     | TICK:0000 | Connected to 10/10 agents
17:03:04 | INFO     | TICK:0000 | Game initialization completed successfully
17:03:06 | INFO     | TICK:0000 | Game loop started
17:03:06 | DEBUG    | TICK:0001 | Tick 1 started
17:03:06 | DEBUG    | TICK:0001 | Team 1 has 5 tanks alive
17:03:06 | DEBUG    | TICK:0001 | Team 2 has 5 tanks alive
17:03:06 | DEBUG    | TICK:0001 | Team 1 has 5 tanks alive
17:03:06 | DEBUG    | TICK:0001 | Team 2 has 5 tanks alive
17:03:06 | DEBUG    | TICK:0002 | Tick 2 started
17:03:06 | DEBUG    | TICK:0002 | Team 1 has 5 tanks alive
17:03:06 | DEBUG    | TICK:0002 | Team 2 has 5 tanks alive
17:03:06 | DEBUG    | TICK:0002 | Team 1 has 5 tanks alive
17:03:06 | DEBUG    | TICK:0002 | Team 2 has 5 tanks alive
17:03:06 | DEBUG    | TICK:0003 | Tick 3 started
17:03:06 | DEBUG    | TICK:0003 | Team 1 has 5 tanks alive
17:03:06 | DEBUG    | TICK:0003 | Team 2 has 5 tanks alive
17:03:06 | DEBUG    | TICK:0003 | Team 1 has 5 tanks alive
17:03:06 | DEBUG    | TICK:0003 | Team 2 has 5 tanks alive
17:03:06 | DEBUG    | TICK:0004 | Tick 4 started
17:03:06 | DEBUG    | TICK:0004 | Team 1 has 5 tanks alive
17:03:06 | DEBUG    | TICK:0004 | Team 2 has 5 tanks alive
17:03:06 | DEBUG    | TICK:0004 | Team 1 has 5 tanks alive
17:03:06 | DEBUG    | TICK:0004 | Team 2 has 5 tanks alive
17:03:06 | DEBUG    | TICK:0005 | Tick 5 started
17:03:06 | DEBUG    | TICK:0005 | Team 1 has 5 tanks alive
17:03:06 | DEBUG    | TICK:0005 | Team 2 has 5 tanks alive
17:03:06 | DEBUG    | TICK:0005 | Team 1 has 5 tanks alive
17:03:06 | DEBUG    | TICK:0005 | Team 2 has 5 tanks alive
17:03:06 | DEBUG    | TICK:0006 | Tick 6 started
17:03:06 | DEBUG    | TICK:0006 | Team 1 has 5 tanks alive
17:03:06 | DEBUG    | TICK:0006 | Team 2 has 5 tanks alive
17:03:06 | DEBUG    | TICK:0006 | Team 1 has 5 tanks alive
17:03:06 | DEBUG    | TICK:0006 | Team 2 has 5 tanks alive
17:03:06 | DEBUG    | TICK:0007 | Tick 7 started
17:03:06 | DEBUG    | TICK:0007 | Team 1 has 5 tanks alive
17:03:06 | DEBUG    | TICK:0007 | Team 2 has 5 tanks alive
17:03:06 | DEBUG    | TICK:0007 | Team 1 has 5 tanks alive
17:03:06 | DEBUG    | TICK:0007 | Team 2 has 5 tanks alive
17:03:06 | DEBUG    | TICK:0008 | Tick 8 started
17:03:06 | DEBUG    | TICK:0008 | Team 1 has 5 tanks alive
17:03:06 | DEBUG    | TICK:0008 | Team 2 has 5 tanks alive
17:03:06 | DEBUG    | TICK:0008 | Team 1 has 5 tanks alive
17:03:06 | DEBUG    | TICK:0008 | Team 2 has 5 tanks alive
17:03:06 | DEBUG    | TICK:0009 | Tick 9 started
17:03:06 | DEBUG    | TICK:0009 | Team 1 has 5 tanks alive
17:03:06 | DEBUG    | TICK:0009 | Team 2 has 5 tanks alive
17:03:06 | DEBUG    | TICK:0009 | Team 1 has 5 tanks alive
17:03:06 | DEBUG    | TICK:0009 | Team 2 has 5 tanks alive
17:03:06 | DEBUG    | TICK:0010 | Tick 10 started
17:03:06 | DEBUG    | TICK:0010 | Team 1 has 5 tanks alive
17:03:06 | DEBUG    | TICK:0010 | Team 2 has 5 tanks alive
17:03:06 | DEBUG    | TICK:0010 | Team 1 has 5 tanks alive
17:03:06 | DEBUG    | TICK:0010 | Team 2 has 5 tanks alive
17:03:06 | DEBUG    | TICK:0011 | Tick 11 started
17:03:06 | DEBUG    | TICK:0011 | Team 1 has 5 tanks alive
17:03:06 | DEBUG    | TICK:0011 | Team 2 has 5 tanks alive
17:03:06 | DEBUG    | TICK:0011 | Team 1 has 5 tanks alive
17:03:06 | DEBUG    | TICK:0011 | Team 2 has 5 tanks alive
17:03:06 | DEBUG    | TICK:0012 | Tick 12 started
17:03:06 | DEBUG    | TICK:0012 | Team 1 has 5 tanks alive
17:03:06 | DEBUG    | TICK:0012 | Team 2 has 5 tanks alive
17:03:06 | DEBUG    | TICK:0012 | Team 1 has 5 tanks alive
17:03:06 | DEBUG    | TICK:0012 | Team 2 has 5 tanks alive
17:03:06 | DEBUG    | TICK:0013 | Tick 13 started
17:03:06 | DEBUG    | TICK:0013 | Team 1 has 5 tanks alive
17:03:06 | DEBUG    | TICK:0013 | Team 2 has 5 tanks alive
17:03:06 | DEBUG    | TICK:0013 | Team 1 has 5 tanks alive
17:03:06 | DEBUG    | TICK:0013 | Team 2 has 5 tanks alive
17:03:06 | DEBUG    | TICK:0014 | Tick 14 started
17:03:06 | DEBUG    | TICK:0014 | Team 1 has 5 tanks alive
17:03:06 | DEBUG    | TICK:0014 | Team 2 has 5 tanks alive
17:03:06 | DEBUG    | TICK:0014 | Team 1 has 5 tanks alive
17:03:06 | DEBUG    | TICK:0014 | Team 2 has 5 tanks alive
17:03:06 | DEBUG    | TICK:0015 | Tick 15 started
17:03:06 | DEBUG    | TICK:0015 | Team 1 has 5 tanks alive
17:03:06 | DEBUG    | TICK:0015 | Team 2 has 5 tanks alive
17:03:06 | DEBUG    | TICK:0015 | Team 1 has 5 tanks alive
17:03:06 | DEBUG    | TICK:0015 | Team 2 has 5 tanks alive
17:03:06 | DEBUG    | TICK:0016 | Tick 16 started
17:03:06 | DEBUG    | TICK:0016 | Team 1 has 5 tanks alive
17:03:06 | DEBUG    | TICK:0016 | Team 2 has 5 tanks alive
17:03:06 | DEBUG    | TICK:0016 | Team 1 has 5 tanks alive
17:03:06 | DEBUG    | TICK:0016 | Team 2 has 5 tanks alive
17:03:06 | DEBUG    | TICK:0017 | Tick 17 started
